기간,국가,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
"총계","",37792465,1999420072,137038333,2005708992,-6288920
"2022","중국",1435545,155789389,7609503,154576314,1213075
"2022","미국",2401781,109765705,20079256,81784723,27980983
"2022","베트남",640078,60963680,956022,26724717,34238963
"2022","일본",2911260,30606278,2756364,54711795,-24105517
"2022","홍콩",285721,27651186,581325,1877605,25773581
"2022","대만",433627,26198240,286640,28274594,-2076354
"2022","싱가포르",827014,20205410,166920,10347783,9857627
"2022","인도",211189,18870071,196890,8897104,9972967
"2022","호주",209647,18753026,609540,44929397,-26176372
"2022","멕시코",204922,12654212,100644,8577372,4076840
"2022","필리핀",412477,12306078,87774,5177612,7128466
"2022","말레이시아",694354,11473480,156128,15249061,-3775582
"2022","인도네시아",250382,10215899,114383,15734850,-5518951
"2022","독일",191090,10067732,2948751,23614856,-13547124
"2022","태국",185748,8584166,523158,7876692,707474
"2022","네덜란드",114642,7869100,89369,8130459,-261358
"2022","폴란드",71743,7858159,32159,1090734,6767425
"2022","캐나다",233924,7839261,359566,8538968,-699707
"2022","튀르키예",91156,7722957,50536,1389347,6333610
"2022","영국",118719,6340999,420038,5775250,565749
"2022","러시아 연방",86946,6328173,19768,14817362,-8489189
"2022","헝가리",28275,6162873,24430,795682,5367191
"2022","프랑스",77214,5254910,394750,7703991,-2449080
"2022","이탈리아",71877,5134155,690014,8356299,-3222144
"2022","벨기에",31476,5029457,31887,3129903,1899553
"2022","브라질",108961,4975562,23920,7930236,-2954674
"2022","사우디아라비아",38460,4865150,6549,41640268,-36775118
"2022","라이베리아",617,4175963,630,13649,4162314
"2022","아랍에미리트 연합",82620,3966846,6967,15492751,-11525905
"2022","뉴질랜드",39616,3490137,492845,1856416,1633721
"2022","마샬군도",368,3246953,268,29326,3217627
"2022","스페인",52442,3235876,103695,2590359,645517
"2022","체코공화국",30998,3150395,39288,1026449,2123945
"2022","슬로바키아",19049,2848561,20486,810089,2038471
"2022","방글라데시",30180,2356959,21228,677273,1679686
"2022","토고",999,2350512,373,56569,2293943
"2022","우즈베키스탄",17628,2183539,911,27932,2155607
"2022","이스라엘",28328,2121809,21652,1603364,518445
"2022","몰타",4116,1762287,2773,111777,1650510
"2022","카자흐스탄",24869,1655098,605,4869471,-3214373
"2022","슬로베니아",8978,1649980,4482,110812,1539167
"2022","칠레",32382,1510397,17854,6801722,-5291325
"2022","이집트",44144,1468077,4237,1691309,-223232
"2022","오스트리아",33448,1421087,52294,2172558,-751471
"2022","스웨덴",20492,1416953,46887,1942882,-525930
"2022","그리스",12434,1232281,5714,902430,329851
"2022","파키스탄",16342,1199470,8960,487122,712348
"2022","파나마",11318,1170475,1146,593492,576983
"2022","이라크",8877,1150883,656,9483975,-8333092
"2022","남아프리카공화국",21312,1144700,6816,3769503,-2624803
"2022","스위스",20603,974269,55761,3243517,-2269248
"2022","노르웨이",8125,964698,26261,1954243,-989545
"2022","콜롬비아",15306,939761,12405,814756,125005
"2022","나이지리아",11245,886816,906,1791007,-904191
"2022","아일랜드",9618,822781,18427,1377224,-554443
"2022","요르단",22756,821769,1273,146173,675596
"2022","페루",15128,777679,10889,2846950,-2069271
"2022","에쿠아도르",6192,770722,2104,210303,560418
"2022","포루투갈",11464,705325,91332,480933,224392
"2022","캄보디아",25756,641675,12523,408879,232796
"2022","바하마",510,535927,63,63,535864
"2022","아르헨티나",12711,528690,6496,2571714,-2043024
"2022","카타르",9410,526565,2148,16567203,-16040638
"2022","루마니아",12816,525997,51885,788367,-262370
"2022","덴마크",14956,510932,37132,1056141,-545209
"2022","괌",5019,468982,466,4301,464680
"2022","케냐",4239,456604,1260,75736,380868
"2022","몽골",22655,426344,17433,38240,388104
"2022","푸에르토리코",2517,411622,1526,350392,61230
"2022","쿠웨이트",7720,401510,584,12401897,-12000388
"2022","리투아니아",4290,384734,7278,133452,251282
"2022","미얀마",10726,384321,8863,629081,-244760
"2022","키르기스스탄",21631,372854,108,541,372313
"2022","리비아",41666,366876,119,90879,275997
"2022","모로코",4273,357974,7284,260209,97764
"2022","오만",5676,350966,980,5306465,-4955499
"2022","도미니카 공화국",5956,347496,1725,101414,246082
"2022","과테말라",11973,322763,4182,131362,191401
"2022","탄자니아",3711,321157,393,76320,244838
"2022","핀란드",9226,315680,14446,1166329,-850650
"2022","버뮤다",107,301951,14,4,301947
"2022","피지",1305,279922,180,5217,274704
"2022","알제리",2836,233307,335,3371797,-3138490
"2022","세르비아",3552,232902,2258,181170,51731
"2022","카메룬",1622,225930,121,165740,60190
"2022","우크라이나",7490,216928,3186,704848,-487920
"2022","코스타리카",8721,213197,5733,172429,40768
"2022","가나",8885,209453,424,37497,171956
"2022","엘살바도르",3002,208119,2015,69242,138877
"2022","사이프러스",1869,205777,415,7091,198686
"2022","이란",2605,195461,274,11111,184350
"2022","스리랑카",7949,190613,6383,144816,45797
"2022","아제르바이잔",8469,184840,80,975,183865
"2022","코트디봐르",1886,170419,134,17781,152638
"2022","불가리아",5561,166515,22066,310624,-144110
"2022","우루과이",2340,152393,1045,301063,-148670
"2022","서사하라",2,150285,2,1,150284
"2022","바레인",3555,149158,936,914397,-765239
"2022","튀니지",1951,143303,10919,350364,-207060
"2022","파푸아 뉴기니",941,142172,505,1684405,-1542233
"2022","온두라스",5442,141352,1188,118358,22994
"2022","크로아티아",2235,141139,1836,124152,16987
"2022","모잠비크",1017,127765,159,566824,-439059
"2022","수단",1968,127641,53,6876,120765
"2022","조지아",4893,120543,445,9957,110586
"2022","파라과이",2242,120463,380,78291,42171
"2022","앙골라",3717,118524,27,678,117846
"2022","콩고민주공화국",634,98339,530,942206,-843866
"2022","에스토니아",3301,98055,3790,73498,24557
"2022","타지크",17557,92676,60,368,92308
"2022","레바논",2261,92548,608,25440,67108
"2022","세네갈",4226,89764,666,51501,38263
"2022","기타국",655,82095,9600,6437290,-6355195
"2022","니카라과",2166,79148,671,78539,609
"2022","팔레스타인 해방기구",1637,78256,17,1725,76532
"2022","예맨",5034,72316,632,56531,15785
"2022","라오스",1713,64325,1901,85237,-20912
"2022","에티오피아",756,62988,3018,127436,-64448
"2022","아이티",1254,60502,132,2743,57759
"2022","불령 폴리네시아",612,59842,24,1196,58646
"2022","트리니다드 토바고",997,59535,530,322473,-262938
"2022","라트비아",2943,51791,3467,92238,-40447
"2022","브루나이",1733,49721,121,295498,-245777
"2022","룩셈부르그",1724,49634,2384,91039,-41405
"2022","볼리비아",1177,45682,259,624929,-579247
"2022","중앙아프리카공화국",32,44969,9,183,44786
"2022","아이슬란드",890,44939,537,19884,25055
"2022","자마이카",638,43751,139,3243,40508
"2022","모리셔스",1481,43628,405,6460,37168
"2022","불령 리유니온 코모도 제도",351,42904,22,181,42722
"2022","베네주엘라",716,41227,208,13658,27569
"2022","지부티",773,39190,5,25,39165
"2022","알바니아",2481,37739,2589,47925,-10187
"2022","몰도바",1163,37564,5476,41572,-4008
"2022","벨라루스",919,37540,570,14257,23283
"2022","사모아",276,37418,50,1690,35728
"2022","네팔",1513,36985,936,4726,32260
"2022","부르키나 파소",294,35964,22,1233,34731
"2022","마다카스카르",2593,35730,1298,116894,-81163
"2022","뉴 칼레도니아",861,35463,149,436724,-401260
"2022","기니",1569,33884,532,53134,-19250
"2022","아르메니아",1372,32519,2884,30964,1555
"2022","가이아나",718,27331,21,647,26684
"2022","우간다",545,27114,362,13398,13716
"2022","콩고",647,26515,85,8386,18130
"2022","아루바",547,24954,15,15,24938
"2022","북마리아나 군도",1327,24411,106,1308,23103
"2022","맨섬",1,23500,7,612,22888
"2022","말리",199,22397,43,4180,18217
"2022","시리아",807,21467,43,257,21209
"2022","아메리칸 사모아",299,21462,134,3302,18160
