기간,국가,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
"2023","브루나이",1818,60250,174,405627,-345377
"2023","사이프러스",2459,57455,367,9766,47690
"2023","팔레스타인 해방기구",791,54370,15,1513,52857
"2023","불령 폴리네시아",635,52096,24,972,51124
"2023","몰도바",1555,50797,3706,76101,-25304
"2023","모리셔스",1774,49113,304,7552,41562
"2023","불령 리유니온 코모도 제도",522,48087,7,14,48073
"2023","자마이카",746,47911,84,1792,46119
"2023","수단",1114,47610,58,6932,40679
"2023","룩셈부르그",1992,44542,2425,72251,-27709
"2023","마이크로네시아",423,43968,40,377,43591
"2023","아이티",962,42307,94,2207,40100
"2023","부르키나 파소",328,41756,26,5688,36068
"2023","사모아",389,40772,17,197,40575
"2023","마다카스카르",4310,36847,1865,221854,-185007
"2023","베네주엘라",842,36198,131,7932,28267
"2023","쿠바",246,35679,92,6823,28856
"2023","아르메니아",1824,35558,2383,96828,-61270
"2023","볼리비아",1007,34797,276,472477,-437680
"2023","가이아나",810,33869,8,24,33845
"2023","지부티",641,30819,4,0,30819
"2023","네팔",1613,30563,1053,5361,25202
"2023","콩고",1045,29895,70,6519,23376
"2023","뉴 칼레도니아",839,27598,165,387892,-360294
"2023","아프카니스탄",430,25079,105,1045,24035
"2023","말리",175,24300,22,449,23851
"2023","몬테네그로",306,23657,48,152655,-128998
"2023","마티니크",247,22982,6,2,22980
"2023","베닝",524,22830,14,450,22380
"2023","기니",1951,21935,445,45581,-23646
"2023","말라위",168,21353,174,27393,-6040
"2023","아루바",518,21005,4,121,20884
"2023","나미비아",289,19832,123,117570,-97738
"2023","우간다",546,19819,350,10015,9804
"2023","마카오",2264,19619,3552,3767,15853
"2023","짐바브웨",303,19563,150,20862,-1299
"2023","아메리칸 사모아",331,18776,77,4544,14232
"2023","과델로프",226,18745,4,64,18680
"2023","투르크멘",155,16927,7,3,16924
"2023","시리아",420,16549,49,244,16305
"2023","가봉",2048,15605,69,85289,-69683
"2023","잠비아",567,15459,64,53867,-38408
"2023","소말리아",288,14862,22,2204,12659
"2023","르완다",1734,14292,92,1688,12603
"2023","벨리제",124,13873,19,676,13197
"2023","팔라우",202,13552,13,240,13311
"2023","북마리아나 군도",1415,13188,71,1256,11932
"2023","큐라소",385,12747,4,635,12112
"2023","마세도니아",592,12395,296,12462,-67
"2023","리히텐슈타인",280,12152,549,17547,-5395
"2023","보스니아-헤르체고비나",576,11194,1757,42017,-30823
"2023","세이쉘",330,10977,30,2490,8487
"2023","니제르",70,10350,13,81396,-71046
"2023","몰디브",1139,10295,24,68,10227
"2023","안타티카",101,9885,37,2748,7138
"2023","세인트 마틴",101,9061,1,0,9061
"2023","모리타니",238,8681,256,37763,-29082
"2023","바누아투",447,7705,144,14924,-7220
"2023","키리바티",403,7588,19,3419,4168
"2023","불령 가이아나",143,6756,0,0,6756
"2023","솔로몬 군도",180,6703,18,9916,-3213
"2023","수리남",236,6543,143,8624,-2081
"2023","버뮤다",107,5738,9,4,5734
"2023","네덜란드 열도",71,5536,12,139,5397
"2023","바베이도스",159,5522,72,190,5332
"2023","세인트 루시아",147,4828,27,259,4569
"2023","부탄",580,4456,15,2982,1475
"2023","안티가 바부다",155,4408,14,698,3711
